name;iny-runtime;iny-parsing;iny-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;54.31; 0.215374; 54.1034
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;54.49; 0.199754; 54.3091
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;11.87; 0.232545; 11.6404
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;11.85; 0.22427; 11.6278
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00117805; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;2.84; 0.088103; 2.7520
